,CAGR,AnnVol,Sharpe,MaxDrawdown
Black-Litterman,0.07277472662112117,0.1209096814661786,0.6413953950072349,-0.0994267908059628
Equal-Weight (Selected),0.11264362417324181,0.12886206205997966,0.8927619423119311,-0.10985436694362807
Equal-Weight (Universe),0.033104337680433416,0.12237060251915088,0.32721590694163,-0.1241810131333679
NIFTY 50,-0.03687648126384835,0.13123707447888913,-0.22089135882225305,-0.1518180937429943
