window,n_periods,mean_ic,ic_std,ic_t_stat,hit_rate
valid,12.0,-0.08716851680542709,0.16131701596193523,-1.8718459305377544,0.4166666666666667
test,11.0,0.057084489670058594,0.21081089154471988,0.8980932256260604,0.6363636363636364
