,CAGR,AnnVol,Sharpe,MaxDrawdown,TotalTurnover,AvgTurnover,TotalCostPct
Black-Litterman,0.11752509371690034,0.14693131150415759,0.829860492334476,-0.22129085948258462,13.661482934590104,0.7589712741438946,2.7322965869180207
Equal-Weight (Selected),0.12981128448099422,0.15552662277718324,0.8627590396741328,-0.2412408366114775,12.804897966160834,0.7113832203422685,2.560979593232166
Equal-Weight (Universe),0.1299900152760336,0.12957250008344937,1.0082292268134736,-0.17396752926960304,2.4354609038334702,0.1353033835463039,0.48709218076669397
NIFTY 50,0.07441958929638659,0.1318015286752465,0.6106161652663259,-0.15766678303740714,1.0,0.05555555555555555,0.2
