date,ic
2022-04-01,-0.006938020351526365
2022-05-05,0.12222479185938946
2022-06-03,0.23392691951896394
2022-07-04,-0.09227567067530064
2022-08-02,-0.34030989824236824
2022-09-05,-0.19287696577243296
2022-10-04,-0.1041859389454209
2022-11-04,0.08024976873265495
2022-12-06,0.1690564292321924
2023-01-04,0.07227104532839965
2023-02-03,0.1162118408880666
2023-03-06,-0.07666512488436633
2023-04-10,-0.0009250693802035153
2023-05-11,0.00578168362627197
2023-06-09,0.09424144310823311
2023-07-11,0.2778677150786309
2023-08-09,0.010291396854764108
2023-09-08,0.04428769657724329
2023-10-11,-0.24549028677150786
2023-11-10,-0.21056891766882518
2023-12-13,0.1417668825161887
2024-01-12,0.20120259019426456
2024-02-14,0.0038159111933395
2024-03-15,-0.23832099907493062
2024-04-19,0.04532839962997225
2024-05-22,0.004278445883441258
2024-06-21,-0.07724329324699351
2024-07-23,-0.08082793709528216
2024-08-22,0.024167437557816838
2024-09-20,-0.055041628122109165
2024-10-22,0.3719935245143386
2024-11-22,-0.2567067530064755
2024-12-23,0.14685476410730808
2025-01-22,-0.22490749306197966
2025-02-19,0.1883672525439408
2025-03-24,0.06683626271970398
2025-04-28,-0.08395004625346902
2025-05-28,-0.2314986123959297
2025-06-26,0.0463691026827012
2025-07-25,0.3167206290471785
2025-08-26,-0.45004625346901017
2025-09-25,0.4101526364477336
2025-10-28,-0.018732654949121186
2025-11-27,0.06186401480111008
2025-12-29,0.2918593894542091
2026-01-28,0.04798797409805736
2026-02-26,0.15309898242368178
2026-04-01,-0.3675994449583719
2026-05-04,0.15485661424606847
2026-06-02,0.09811902559358618
2026-07-01,-0.002898550724637681
2026-07-30,-0.1448658649398705
