rebalance_date,n_selected,n_universe,hold_days,turnover_Black-Litterman,cost_Black-Litterman,return_Black-Litterman,turnover_Equal-Weight (Selected),cost_Equal-Weight (Selected),return_Equal-Weight (Selected),turnover_Equal-Weight (Universe),cost_Equal-Weight (Universe),return_Equal-Weight (Universe),turnover_NIFTY 50,cost_NIFTY 50,return_NIFTY 50,ic_mean,ic_n
2022-04-01,10,47,62,1.0,0.002,-0.1269252759721502,1.0,0.002,-0.15132723775342294,1.0000000000000002,0.0020000000000000005,-0.08662632703858486,1.0,0.002,-0.09823748457034942,0.11640456367560902,3
2022-07-01,10,47,63,0.8132750061427207,0.0016265500122854416,0.08301962975905086,0.6581979434882884,0.0013163958869765768,0.09115906212716007,0.12916012210204814,0.00025832024420409627,0.13226629020607827,0.0,0.0,0.08327495504665805,-0.23253931544865866,3
2022-10-03,10,47,62,0.694305966558482,0.001388611933116964,-0.029019910080075983,0.8560054493831205,0.001712010898766241,-0.02043879921219549,0.10385839508646579,0.00020771679017293158,0.041984523917035776,0.0,0.0,0.05913949316448841,-0.0023512180080172717,3
2023-01-02,10,47,62,0.6229409661984345,0.001245881932396869,-0.10483877082144022,0.43484444834815067,0.0008696888966963014,-0.11734249619922843,0.0657148599428943,0.0001314297198857886,-0.055910518530382536,0.0,0.0,-0.04117859130084667,-0.07431390687634908,3
2023-04-03,10,47,60,0.782141387714885,0.0015642827754297698,0.1377873592113077,0.7166343374258495,0.001433268674851699,0.1572598088936088,0.08179988663578867,0.00016359977327157736,0.14142731408041653,0.0,0.0,0.1053759864773387,0.07400555041628122,3
2023-07-03,10,47,63,0.9417522874776525,0.001883504574955305,0.1448470158923456,0.6605222602384634,0.0013210445204769267,0.1228367575448901,0.06330639353353552,0.00012661278706707106,0.05113595614620747,0.0,0.0,0.02341178858304782,0.0658341042244835,3
2023-10-03,10,47,60,0.670126355819693,0.0013402527116393862,0.1625744688220403,0.4662290505214366,0.0009324581010428732,0.16178275688538335,0.06204786050542782,0.00012409572101085563,0.13184254950336927,0.0,0.0,0.1065825212012963,-0.11482423681776133,3
2024-01-01,10,47,60,0.8307812637185321,0.0016615625274370642,0.07460507670284344,0.6371803967419174,0.0012743607934838348,0.0874435628637773,0.06660187384715158,0.00013320374769430315,0.05876234371864819,0.0,0.0,0.02740274392334552,-0.15259790317607155,3
2024-04-01,10,47,60,0.7157332798571884,0.0014314665597143768,0.029370360973754783,0.49538119862365937,0.0009907623972473187,0.06668092978746576,0.10185925003974412,0.00020371850007948824,0.07208118256653973,0.0,0.0,0.07541123887742862,-0.05157261794634598,3
2024-07-01,10,47,64,0.568434589171222,0.001136869178342444,0.14202904643586955,0.6644249962397003,0.0013288499924794005,0.12183288278502036,0.08458798025712344,0.0001691759605142469,0.10131489230062551,0.0,0.0,0.07497730291154925,-0.05322039777983349,4
2024-10-01,10,47,62,0.8613657618346294,0.001722731523669259,-0.03473759471096283,1.003678399583379,0.002007356799166758,-0.03182491568695833,0.06694122470222143,0.00013388244940444285,-0.11537001166382999,0.0,0.0,-0.08392009022974045,-0.049105766265803284,3
2025-01-01,10,47,62,0.668956609313103,0.001337913218626206,-0.08771484026479504,0.6852547262688388,0.0013705094525376775,-0.07948478558010708,0.11269559260352532,0.00022539118520705065,-0.0014640901536724371,0.0,0.0,-0.005305655693004341,-0.04440333024976873,3
2025-04-01,10,47,61,0.7879965159429542,0.0015759930318859083,0.08515270532284136,0.8257146682581995,0.001651429336516399,0.10055725842410324,0.09928305431910499,0.00019856610863820998,0.083893281340234,0.0,0.0,0.08493862309350231,0.029139685476410732,3
2025-07-01,10,47,64,0.605192577519238,0.0012103851550384762,-0.009638402592368145,0.6419866962006885,0.001283973392401377,-0.004659389656551882,0.06314258911997295,0.0001262851782399459,-0.01083367693968984,0.0,0.0,-0.035503757061952634,0.09999421831637373,4
2025-10-01,10,47,62,0.4353543728273832,0.0008707087456547664,0.0970923212181849,0.4423629246771644,0.0008847258493543289,0.08385294556676448,0.07661736859348323,0.00015323473718696645,0.06276143364506837,0.0,0.0,0.06169980310109957,0.061748381128584655,3
2026-01-01,10,47,60,0.8764537054585504,0.0017529074109171009,-0.1290759774825474,0.8263857534212866,0.0016527715068425733,-0.11039944538723112,0.05862528602274439,0.00011725057204548878,-0.1094919716903281,0.0,0.0,-0.1453600237099405,0.13105149552883133,3
2026-04-01,10,47,63,0.9848477509031062,0.0019696955018062125,0.05690281232252303,0.8851786890101435,0.0017703573780202871,0.0739140992328744,0.10170684810141287,0.00020341369620282575,0.07378311212040001,0.0,0.0,0.0687081679848045,-0.038207935039572406,3
2026-07-01,10,47,48,0.8018245381323306,0.0016036490762646612,0.07998657857493874,0.9049160277305464,0.0018098320554610927,0.07042479708857474,0.09751231842082513,0.00019502463684165026,0.024660319685141374,0.0,0.0,0.0013387058336740143,-0.07388220783225409,2
