,n_train,train_end,valid_corr,valid_rmse,test_corr,test_rmse
ADANIENT.NS,885,2024-08-02 00:00:00,-0.10934024810619813,0.12710840204358373,0.05807755789780224,0.1435970792151436
ADANIPORTS.NS,885,2024-08-02 00:00:00,-0.08540088384457799,0.10817794150680733,-0.18894515104077267,0.10063924840387004
APOLLOHOSP.NS,885,2024-08-02 00:00:00,-0.09011325415537068,0.07271773931205008,-0.29441304454674616,0.08252867088216075
ASIANPAINT.NS,885,2024-08-02 00:00:00,0.395013481628289,0.10324587503166342,0.5816630796700304,0.07237071745179172
AXISBANK.NS,885,2024-08-02 00:00:00,0.40269496103445734,0.08140186665570671,0.6208486023361723,0.05278707387334257
BAJAJ-AUTO.NS,885,2024-08-02 00:00:00,0.0768262784538141,0.10213466684401674,-0.15008849766127824,0.07784174124466185
BAJAJFINSV.NS,885,2024-08-02 00:00:00,-0.43260572765259175,0.07881035814029741,-0.04510819547639345,0.07046291548714165
BAJFINANCE.NS,885,2024-08-02 00:00:00,-0.347818639213691,0.0913950899959543,0.31783341279332644,0.0791819206141922
BHARTIARTL.NS,885,2024-08-02 00:00:00,-0.2036790240182613,0.05814246266572236,0.14754296206394626,0.06619879053829286
BPCL.NS,885,2024-08-02 00:00:00,-0.2106608480144518,0.0940329959754592,0.13524303621930062,0.08505892798399659
BRITANNIA.NS,885,2024-08-02 00:00:00,0.13068466850408583,0.07846362523887732,0.18268559685773236,0.05418740662881466
CIPLA.NS,885,2024-08-02 00:00:00,-0.033818624724829584,0.05944373543100622,0.25983425123426235,0.06778526858247509
COALINDIA.NS,885,2024-08-02 00:00:00,0.1128078067924025,0.1027189074552227,-0.12958820123687256,0.07491687459378282
DIVISLAB.NS,885,2024-08-02 00:00:00,0.19537716802509233,0.06390791082090254,0.4662766693413436,0.058560564888349015
DRREDDY.NS,885,2024-08-02 00:00:00,0.07822215396618923,0.07072517030724448,0.21341640819661056,0.0611853167775294
EICHERMOT.NS,885,2024-08-02 00:00:00,0.2865708944040625,0.06926824020718522,0.06420223580529215,0.0665723719921278
GRASIM.NS,885,2024-08-02 00:00:00,0.13963258579726595,0.06492453110626245,-0.07925200893118096,0.06342566852279123
HCLTECH.NS,885,2024-08-02 00:00:00,0.04402021459912641,0.08028616496289054,0.04236677759172983,0.10569955611622833
HDFCBANK.NS,885,2024-08-02 00:00:00,0.027609707504586745,0.05592103401459224,0.1661869511899066,0.06927840302104764
HDFCLIFE.NS,885,2024-08-02 00:00:00,0.4261389105365723,0.05219859311721132,0.16103070309544185,0.0682281487235907
HEROMOTOCO.NS,885,2024-08-02 00:00:00,-0.34772064032017735,0.12230087211535838,-0.3829014187961421,0.08993549292835842
HINDALCO.NS,885,2024-08-02 00:00:00,-0.2039602131421296,0.09572004504805569,0.30500318590758935,0.07488047793064113
HINDUNILVR.NS,885,2024-08-02 00:00:00,0.48499271555277906,0.06051390729499553,0.061844571959507905,0.06489854130724111
ICICIBANK.NS,885,2024-08-02 00:00:00,0.10248202057778841,0.04574232870212669,0.45913640586402094,0.05365638072448576
INDUSINDBK.NS,885,2024-08-02 00:00:00,0.36449192817845466,0.21472676481278108,0.1566374310648805,0.10123534772950464
INFY.NS,885,2024-08-02 00:00:00,0.11070766468813487,0.07574020429614653,-0.1340675789711482,0.10306492761978547
ITC.NS,885,2024-08-02 00:00:00,-0.11518373956141771,0.07796245823239978,0.15647963733032944,0.09295408057010757
JSWSTEEL.NS,885,2024-08-02 00:00:00,0.2059540176895358,0.05130525020263073,0.24074177344660858,0.05445827100675754
KOTAKBANK.NS,885,2024-08-02 00:00:00,-0.04070168015372934,0.06855249642596502,0.05646014034255156,0.06401464634552625
LT.NS,885,2024-08-02 00:00:00,-0.210060562908294,0.07107455734222956,0.22027396927880075,0.07707984780064697
M&M.NS,885,2024-08-02 00:00:00,-0.01224141373552348,0.08483851812401216,0.07564501739710697,0.08438614320444345
MARUTI.NS,885,2024-08-02 00:00:00,0.24003253976844927,0.07830660003154107,0.11762811340540301,0.07988417267808119
NESTLEIND.NS,885,2024-08-02 00:00:00,0.14666162094945584,0.07518460046035387,-0.017813688178597593,0.07854289188095347
NTPC.NS,885,2024-08-02 00:00:00,0.053300399366783366,0.11213542107079637,-0.037460623857554644,0.08355670074072793
ONGC.NS,885,2024-08-02 00:00:00,0.008100108768906166,0.08870661245534332,0.09078947251525596,0.08717596201732772
POWERGRID.NS,885,2024-08-02 00:00:00,0.10324737592444137,0.08478617888585513,-0.03449090417664375,0.08017378182363064
RELIANCE.NS,885,2024-08-02 00:00:00,0.06958481760835454,0.07572271590228834,0.14496662357980364,0.06380064592703409
SBILIFE.NS,885,2024-08-02 00:00:00,0.3318777889901785,0.07024867562867945,0.046383874616761744,0.059477162217224454
SBIN.NS,885,2024-08-02 00:00:00,0.15049735972740244,0.07723180640034215,-0.1656639982400428,0.09952549270676735
SUNPHARMA.NS,885,2024-08-02 00:00:00,0.29158815316088155,0.07133014157144961,0.3862612570699171,0.05208817342414714
TATACONSUM.NS,885,2024-08-02 00:00:00,0.3367906264567745,0.08035109701687623,-0.2176997988460158,0.06740804823272753
TATASTEEL.NS,885,2024-08-02 00:00:00,-0.08820661696682189,0.09857713084879871,0.0749783285930939,0.07358652844507833
TCS.NS,885,2024-08-02 00:00:00,0.2519340753889915,0.08420543277929943,0.033579251569274854,0.10339343516081563
TECHM.NS,885,2024-08-02 00:00:00,-0.17811828538590635,0.10575122851356313,-0.16552396698147814,0.10417725859357584
TITAN.NS,885,2024-08-02 00:00:00,-0.14987252828830233,0.08025038478804922,-0.10649084785944707,0.06795932314452208
ULTRACEMCO.NS,885,2024-08-02 00:00:00,-0.23321464564837252,0.0743245459428363,0.2269131937335418,0.06991995768929446
WIPRO.NS,885,2024-08-02 00:00:00,-0.21003594112644658,0.08335395556663001,-0.07761547876717831,0.08152044419224758
